"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","953","Проверка описания добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:22:04 GMT 2024","passed","Thu Dec 12 17:22:05 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkDescriptionOfProduct"
"","653","Проверка позитивного логина","Sauce Demo SmokeTest","Thu Dec 12 17:22:08 GMT 2024","passed","Thu Dec 12 17:22:09 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"","540","Проверка ошибки, при пустом пароля","Sauce Demo SmokeTest","Thu Dec 12 17:22:06 GMT 2024","passed","Thu Dec 12 17:22:07 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyPassword"
"","10617","Проверка удаления продуктов из корзины","Sauce Demo SmokeTest","Thu Dec 12 17:22:10 GMT 2024","passed","Thu Dec 12 17:22:20 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkRemoveProduct"
"","867","Проверка удаления одного продукта из нескольких","Sauce Demo SmokeTest","Thu Dec 12 17:22:08 GMT 2024","passed","Thu Dec 12 17:22:09 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkRemoveOneProductFromSome"
"","1633","Проверка ошибки , при переходе на страницу Checkout: Overview","Sauce Demo SmokeTest","Thu Dec 12 17:22:03 GMT 2024","passed","Thu Dec 12 17:22:05 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","checkErrorMassageIfFirstNameEmpty"
"","566","Проверка ошибки, при пустом логине","Sauce Demo SmokeTest","Thu Dec 12 17:22:07 GMT 2024","passed","Thu Dec 12 17:22:08 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyUserName"
"","605","Проверка возврата на страницу продуктов","Sauce Demo SmokeTest","Thu Dec 12 17:22:21 GMT 2024","passed","Thu Dec 12 17:22:21 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkReturnToProduct"
"","1368","Проверка добавления нескольких продуктов в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:22:02 GMT 2024","passed","Thu Dec 12 17:22:04 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkAddedSomeProductsToCart"
"","791","test","Sauce Demo SmokeTest","Thu Dec 12 17:22:04 GMT 2024","passed","Thu Dec 12 17:22:04 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","760","Проверка цены добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:22:07 GMT 2024","passed","Thu Dec 12 17:22:08 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkPriceOfProduct"
"","794","test","Sauce Demo SmokeTest","Thu Dec 12 17:22:02 GMT 2024","passed","Thu Dec 12 17:22:03 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","1317","test","Sauce Demo SmokeTest","Thu Dec 12 17:22:00 GMT 2024","passed","Thu Dec 12 17:22:01 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"","2524","Проверка перехода на страницу Checkout: Overview","Sauce Demo SmokeTest","Thu Dec 12 17:22:00 GMT 2024","passed","Thu Dec 12 17:22:03 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","checkCheckout"
"","550","Проверка ошибки, при неверном логине","Sauce Demo SmokeTest","Thu Dec 12 17:22:05 GMT 2024","passed","Thu Dec 12 17:22:06 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginEmptyWrongUserName"
"","1715","Проверка названия добавленного продукта в корзину","Sauce Demo SmokeTest","Thu Dec 12 17:22:00 GMT 2024","passed","Thu Dec 12 17:22:02 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkAddedOneProductToCart"
